,Id,Año,Mes,Día,Fecha ,Vehiculo victima,Sexo,Edad victima,Gravedad,Rango_etario
455,LC-2019-0035861,2019,1,17,2019-01-17,sd,Varon,28,SD, Entre 21- 40
456,LC-2019-0035884,2019,1,17,2019-01-17,sd,Mujer,65,SD,Entre 61-80
457,LC-2019-0035947,2019,1,17,2019-01-17,sd,Varon,39,SD, Entre 21- 40
458,LC-2019-0036035,2019,1,17,2019-01-17,sd,Mujer,27,SD, Entre 21- 40
459,LC-2019-0036051,2019,1,17,2019-01-17,sd,Mujer,31,SD, Entre 21- 40
460,LC-2019-0036157,2019,1,17,2019-01-17,sd,Varon,32,SD, Entre 21- 40
461,LC-2019-0036172,2019,1,17,2019-01-17,sd,Mujer,23,SD, Entre 21- 40
462,LC-2019-0036233,2019,1,17,2019-01-17,sd,Mujer,0,SD,Menos de 20
463,LC-2019-0036257,2019,1,17,2019-01-17,sd,Mujer,0,SD,Menos de 20
464,LC-2019-0045960,2019,1,17,2019-01-17,sd,Mujer,66,SD,Entre 61-80
465,LC-2019-0033624,2019,1,17,2019-01-17,sd,varon,26,SD, Entre 21- 40
466,LC-2019-0036239,2019,1,18,2019-01-18,sd,Varon,27,SD, Entre 21- 40
467,LC-2019-0036324,2019,1,18,2019-01-18,sd,Varon,21,SD, Entre 21- 40
468,LC-2019-0036508,2019,1,18,2019-01-18,sd,Varon,32,SD, Entre 21- 40
469,LC-2019-0036547,2019,1,18,2019-01-18,sd,Varon,0,SD,Menos de 20
470,LC-2019-0036547,2019,1,18,2019-01-18,sd,Varon,0,SD,Menos de 20
471,LC-2019-0036762,2019,1,18,2019-01-18,sd,Mujer,25,SD, Entre 21- 40
472,LC-2019-0037490,2019,1,18,2019-01-18,sd,Varon,41,SD,Entre 41-60
