Id,Fecha,Aaa,Mes_x,Día_x,Día semana,Hora,Num víctimas,Participantes,Acusado,Victima,Sexo,Edad victima,Rango etario,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Barrios,Xy (caba),Coordenada x,Coordenada y,Pos x,Pos y
LC-2019-0013452,1900-01-01,2019,1,7,,,,,,,Varon,39, Entre 21- 40,,,,,,,,,,,,
LC-2019-0013589,1900-01-01,2019,1,7,,,,,,,Varon,75,Entre 61-80,,,,,,,,,,,,
LC-2019-0013652,1900-01-01,2019,1,7,,,,,,,Mujer,35, Entre 21- 40,,,,,,,,,,,,
LC-2019-0013652,1900-01-01,2019,1,7,,,,,,,Mujer,35, Entre 21- 40,,,,,,,,,,,,
LC-2019-0013652,1900-01-01,2019,1,7,,,,,,,Mujer,2,Menos de 20,,,,,,,,,,,,
LC-2019-0013652,1900-01-01,2019,1,7,,,,,,,Varon,26, Entre 21- 40,,,,,,,,,,,,
LC-2019-0013857,1900-01-01,2019,1,7,,,,,,,Varon,13,Menos de 20,,,,,,,,,,,,
LC-2019-0013857,1900-01-01,2019,1,7,,,,,,,Mujer,13,Menos de 20,,,,,,,,,,,,
LC-2019-0015962,1900-01-01,2019,1,7,,,,,,,Varon,6,Menos de 20,,,,,,,,,,,,
LC-2019-0021745,1900-01-01,2019,1,7,,,,,,,Varon,75,Entre 61-80,,,,,,,,,,,,
LC-2019-0013801,1900-01-01,2019,1,8,,,,,,,Varon,39, Entre 21- 40,,,,,,,,,,,,
LC-2019-0013840,1900-01-01,2019,1,8,,,,,,,Varon,22, Entre 21- 40,,,,,,,,,,,,
LC-2019-0013850,1900-01-01,2019,1,8,,,,,,,Mujer,29, Entre 21- 40,,,,,,,,,,,,
LC-2019-0014140,1900-01-01,2019,1,8,,,,,,,Varon,9,Menos de 20,,,,,,,,,,,,
LC-2019-0014220,1900-01-01,2019,1,8,,,,,,,Varon,32, Entre 21- 40,,,,,,,,,,,,
LC-2019-0014314,1900-01-01,2019,1,8,,,,,,,Varon,42,Entre 41-60,,,,,,,,,,,,
LC-2019-0014442,1900-01-01,2019,1,8,,,,,,,Varon,83,Más de 80,,,,,,,,,,,,
LC-2019-0014448,1900-01-01,2019,1,8,,,,,,,Varon,62,Entre 61-80,,,,,,,,,,,,
LC-2019-0014503,1900-01-01,2019,1,8,,,,,,,Varon,62,Entre 61-80,,,,,,,,,,,,
LC-2019-0014534,1900-01-01,2019,1,8,,,,,,,SD,18,Menos de 20,,,,,,,,,,,,
LC-2019-0014580,1900-01-01,2019,1,8,,,,,,,Varon,18,Menos de 20,,,,,,,,,,,,
LC-2019-0014644,1900-01-01,2019,1,8,,,,,,,Varon,29, Entre 21- 40,,,,,,,,,,,,
LC-2019-0014644,1900-01-01,2019,1,8,,,,,,,Varon,29, Entre 21- 40,,,,,,,,,,,,
LC-2019-0014787,1900-01-01,2019,1,8,,,,,,,Mujer,30, Entre 21- 40,,,,,,,,,,,,
LC-2019-0014790,1900-01-01,2019,1,8,,,,,,,Varon,30, Entre 21- 40,,,,,,,,,,,,
LC-2019-0014956,1900-01-01,2019,1,8,,,,,,,Varon,32, Entre 21- 40,,,,,,,,,,,,
LC-2019-0015085,1900-01-01,2019,1,8,,,,,,,Varon,41,Entre 41-60,,,,,,,,,,,,
LC-2019-0015193,1900-01-01,2019,1,8,,,,,,,Varon,64,Entre 61-80,,,,,,,,,,,,
LC-2019-0015241,1900-01-01,2019,1,8,,,,,,,Mujer,64,Entre 61-80,,,,,,,,,,,,
LC-2019-0015361,1900-01-01,2019,1,8,,,,,,,Varon,33, Entre 21- 40,,,,,,,,,,,,
LC-2019-0015585,1900-01-01,2019,1,8,,,,,,,Varon,31, Entre 21- 40,,,,,,,,,,,,
LC-2019-0015614,1900-01-01,2019,1,8,,,,,,,Mujer,31, Entre 21- 40,,,,,,,,,,,,
LC-2019-0006068,1900-01-01,2019,1,4,,,,,,,Varon,20, Entre 21- 40,,,,,,,,,,,,
LC-2019-0015700,1900-01-01,2019,1,8,,,,,,,Varon,34, Entre 21- 40,,,,,,,,,,,,
LC-2019-0015822,1900-01-01,2019,1,8,,,,,,,Varon,5,Menos de 20,,,,,,,,,,,,
LC-2019-0015879,1900-01-01,2019,1,8,,,,,,,SD,6,Menos de 20,,,,,,,,,,,,
LC-2019-0016012,1900-01-01,2019,1,8,,,,,,,Mujer,17,Menos de 20,,,,,,,,,,,,
LC-2019-0016105,1900-01-01,2019,1,8,,,,,,,Varon,40,Entre 41-60,,,,,,,,,,,,
LC-2019-0016278,1900-01-01,2019,1,8,,,,,,,Varon,40,Entre 41-60,,,,,,,,,,,,
LC-2019-0016388,1900-01-01,2019,1,9,,,,,,,Varon,0,Menos de 20,,,,,,,,,,,,
LC-2019-0016388,1900-01-01,2019,1,9,,,,,,,Mujer,0,Menos de 20,,,,,,,,,,,,
LC-2019-0016581,1900-01-01,2019,1,9,,,,,,,Varon,58,Entre 41-60,,,,,,,,,,,,
LC-2019-0016613,1900-01-01,2019,1,9,,,,,,,Varon,42,Entre 41-60,,,,,,,,,,,,
LC-2019-0017068,1900-01-01,2019,1,9,,,,,,,Varon,58,Entre 41-60,,,,,,,,,,,,
LC-2019-0017068,1900-01-01,2019,1,9,,,,,,,Mujer,58,Entre 41-60,,,,,,,,,,,,
LC-2019-0017068,1900-01-01,2019,1,9,,,,,,,Mujer,43,Entre 41-60,,,,,,,,,,,,
LC-2019-0017068,1900-01-01,2019,1,9,,,,,,,Mujer,24, Entre 21- 40,,,,,,,,,,,,
LC-2019-0017182,1900-01-01,2019,1,9,,,,,,,Varon,33, Entre 21- 40,,,,,,,,,,,,
LC-2019-0017186,1900-01-01,2019,1,9,,,,,,,Varon,24, Entre 21- 40,,,,,,,,,,,,
LC-2019-0017460,1900-01-01,2019,1,9,,,,,,,Varon,35, Entre 21- 40,,,,,,,,,,,,
LC-2019-0017504,1900-01-01,2019,1,9,,,,,,,Varon,0,Menos de 20,,,,,,,,,,,,
LC-2019-0017514,1900-01-01,2019,1,9,,,,,,,Varon,70,Entre 61-80,,,,,,,,,,,,
LC-2019-0017514,1900-01-01,2019,1,9,,,,,,,Varon,70,Entre 61-80,,,,,,,,,,,,
LC-2019-0017561,1900-01-01,2019,1,9,,,,,,,Varon,38, Entre 21- 40,,,,,,,,,,,,
LC-2019-0018006,1900-01-01,2019,1,9,,,,,,,Varon,24, Entre 21- 40,,,,,,,,,,,,
LC-2019-0018207,1900-01-01,2019,1,9,,,,,,,Mujer,33, Entre 21- 40,,,,,,,,,,,,
LC-2019-0018425,1900-01-01,2019,1,9,,,,,,,Varon,38, Entre 21- 40,,,,,,,,,,,,
LC-2019-0018474,1900-01-01,2019,1,9,,,,,,,Varon,58,Entre 41-60,,,,,,,,,,,,
